label
1.062
0.202
0.038
0.03
0.028
0.028
0.98
1.416
1.504
1.37
0.576
0.892
0.402
0.518
0.418
0.694
0.51
0.156
0.564
0.148
0.162
0.15
0.112
0.05
0.026
0.028
0.022
0.028
0.244
0.034
0.024
0.266
2.038
0.104
0.606
0.592
1.074
0.436
0.186
0.508
0.108
1.124
0.734
0.174
1.432
0.424
0.026
0.022
0.042
0.03
0.03
0.03
0.032
0.032
0.032
0.03
2.45
0.346
0.608
1.128
0.372
0.24
0.23
0.612
0.592
0.036
0.47
1.23
0.766
0.398
0.386
0.966
0.21
0.048
0.03
0.034
0.024
0.024
0.026
2.384
1.916
0.666
0.314
0.18
0.038
0.348
0.18
0.044
0.116
0.308
2.45
0.706
0.226
0.686
0.218
1.898
2.096
0.066
0.03
0.026
0.024
0.028
0.02
0.532
3.316
0.622
0.076
0.072
0.024
0.628
0.026
0.028
0.186
1.09
1.112
0.146
0.416
0.588
1.322
0.1
0.038
0.036
0.026
0.024
0.02
0.024
0.024
0.972
1.676
0.978
1.39
0.338
0.972
0.348
2.164
1.158
1.078
2.002
0.388
1.034
0.18
0.336
0.024
0.07
0.1
0.038
0.036
0.036
0.038
0.036
0.036
2.192
1.682
0.202
0.396
0.074
0.204
2.442
0.808
0.1
0.104
0.166
0.644
0.062
0.028
0.026
0.028
0.026
0.02
0.026
0.026
0.028
0.024
0.018
0.026
0.026
2.0
0.638
0.46
0.026
0.532
0.17
0.182
0.59
0.432
0.274
1.558
0.826
0.212
2.558
0.598
0.046
0.032
0.03
0.03
0.028
0.026
0.026
0.03
0.394
1.924
1.55
0.784
0.95
0.344
0.902
0.724
0.302
0.13
0.49
1.236
0.198
1.09
0.494
0.162
0.066
0.042
0.04
0.042
0.04
0.042
0.04
0.206
0.036
0.47
0.194
0.194
0.164
0.138
1.568
2.632
0.898
0.874
0.144
0.444
0.29
0.556
0.578
2.024
2.486
0.566
0.204
0.564
0.04
0.026
0.038
0.03
0.272
1.55
0.37
0.384
0.31
0.048
0.752
0.534
1.004
0.154
0.854
2.096
2.23
1.622
0.212
0.38
0.072
0.036
0.026
0.024
0.022
0.024
0.022
0.042
0.038
0.906
0.432
0.044
2.514
0.686
0.752
0.64
0.046
0.392
1.126
1.056
0.082
0.026
0.022
0.024
0.056
0.132
0.038
0.034
0.026
0.024
0.026
0.024
0.796
2.008
0.418
0.118
1.114
1.394
0.526
1.462
0.558
0.382
2.004
0.446
0.412
0.598
0.182
0.37
0.112
0.048
0.034
0.026
0.022
0.024
0.024
0.026
0.03
0.606
0.472
0.188
2.158
2.802
0.538
0.256
0.3
0.022
0.02
0.016
0.018
0.514
0.14
0.042
0.04
0.036
0.032
0.026
0.028
0.032
0.032
0.026
1.946
2.984
2.29
1.718
2.206
0.346
0.352
0.182
0.744
0.896
2.764
0.946
0.584
0.808
0.276
0.114
0.086
0.076
0.026
0.024
0.022
0.02
0.026
0.024
0.026
3.27
1.12
0.366
0.072
0.024
0.024
0.112
0.656
0.716
0.66
0.07
0.19
0.438
0.408
0.38
0.128
0.054
0.03
0.03
0.028
0.026
0.024
0.022
0.684
2.13
0.896
1.308
0.056
0.026
0.028
0.076
0.028
0.332
0.144
0.116
0.138
0.112
0.03
0.862
1.616
1.372
1.402
0.086
0.036
0.034
0.03
0.028
0.274
1.054
0.36
0.972
0.588
0.04
0.028
0.026
0.014
0.026
1.648
0.702
0.142
0.026
0.124
0.148
0.122
0.114
0.106
0.112
0.1
0.108
0.112
0.098
1.56
0.404
0.174
0.184
0.872
0.018
0.138
0.53
1.61
0.496
2.052
1.306
2.604
0.614
0.124
0.196
0.398
0.036
0.034
0.022
0.202
0.034
0.024
0.032
0.432
1.834
0.018
0.026
0.026
0.068
0.082
0.014
0.028
0.026
0.014
1.024
1.12
0.352
0.916
0.674
0.14
0.072
0.038
0.186
0.028
0.02
0.22
0.046
0.856
2.262
0.292
0.062
0.056
0.14
0.122
0.03
0.038
0.016
0.028
0.014
1.748
1.864
0.084
0.034
0.024
0.238
0.022
0.054
0.114
0.044
0.032
0.046
0.026
0.202
1.264
0.02
0.024
0.016
0.026
0.014
0.028
0.842
2.278
0.61
0.57
1.874
0.176
0.746
0.114
0.036
0.03
0.03
0.014
0.028
0.016
0.028
2.316
0.514
1.154
1.14
1.168
1.466
1.23
1.028
0.23
0.134
0.45
1.654
0.59
0.55
0.458
0.902
0.284
0.04
0.018
0.034
0.032
0.016
0.03
0.028
0.494
1.532
0.368
0.034
0.024
0.02
0.068
0.06
0.03
0.014
0.028
0.022
2.27
1.352
1.134
0.616
0.408
0.08
0.068
0.046
0.06
0.048
0.056
0.054
1.502
0.69
0.026
0.028
0.048
0.06
1.844
0.654
0.764
0.014
0.028
0.248
1.258
0.192
0.784
0.968
0.374
0.026
0.042
0.026
0.04
0.026
0.032
0.084
0.022
0.55
0.502
0.24
0.19
0.336
0.24
0.186
0.196
0.246
0.218
0.096
0.246
1.064
0.214
0.156
0.034
0.02
0.034
0.022
0.032
0.024
0.022
0.034
0.676
2.398
0.692
0.394
0.136
0.02
0.02
0.014
0.028
0.024
1.034
1.316
0.946
1.836
0.262
0.046
0.036
0.22
0.042
0.032
0.044
0.222
0.034
0.046
0.218
1.136
0.756
1.01
0.348
0.068
0.912
1.67
1.742
0.108
0.28
0.67
0.678
0.772
0.378
0.12
0.044
0.028
0.02
0.03
0.02
0.026
0.024
0.02
1.228
1.218
0.126
0.282
0.12
1.542
0.96
0.844
0.872
0.016
2.202
1.348
0.342
0.128
0.094
0.086
0.086
0.048
0.022
0.022
0.022
0.02
0.022
0.08
1.956
1.224
1.174
0.286
0.108
0.204
1.216
1.202
0.298
0.372
2.01
0.398
0.318
1.332
0.056
0.05
0.164
0.454
2.712
1.46
0.028
0.026
0.024
0.82
1.482
2.686
0.516
0.396
0.936
0.09
0.028
0.06
0.058
0.058
0.1
0.15
0.204
0.244
0.37
0.072
0.034
0.032
0.034
0.036
0.03
0.03
0.032
0.036
1.77
2.272
1.248
0.898
0.344
0.45
0.768
1.376
0.49
1.658
0.266
0.14
0.538
1.386
0.506
0.176
0.222
0.454
0.05
0.042
0.028
0.024
0.028
0.022
0.41
0.112
0.502
0.466
0.044
0.132
0.11
0.068
0.3
0.174
1.846
2.992
0.634
0.566
