feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,label
0.038,0.236,0.072,0.062,0.172,0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566
0.236,0.072,0.062,0.172,0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084
0.072,0.062,0.172,0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744
0.062,0.172,0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406
0.172,0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706
0.118,0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094
0.114,0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0
0.36,0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478
0.132,0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126
0.036,0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114
0.038,0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09
0.026,0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046
0.036,0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03
0.026,0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03
0.034,0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028
0.026,1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028
1.386,1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588
1.904,1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664
1.758,0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422
0.612,0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896
0.762,0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566
0.972,1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024
1.866,0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624
0.874,1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684
1.566,2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408
2.084,0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024
0.744,0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056
0.406,0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51
0.706,2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056
2.094,1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734
1.0,0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134
0.478,0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046
0.126,0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064
0.114,0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03
0.09,0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028
0.046,0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03
0.03,0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032
0.03,0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03
0.028,0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028
0.028,2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026
2.588,1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446
1.664,0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042
0.422,1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154
1.896,1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224
1.566,1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232
1.024,0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052
0.624,1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174
1.684,0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22
0.408,1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88
1.024,1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21
1.056,0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13
0.51,2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394
2.056,0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97
0.734,0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916
0.134,0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156
0.046,0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054
0.064,0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066
0.03,0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12
0.028,0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1
0.03,0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028
0.032,0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022
0.03,0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028
0.028,0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024
0.026,0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022
0.446,2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612
2.042,0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748
0.154,0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552
0.224,0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0
0.232,0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318
0.052,0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11
0.174,0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18
0.22,0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858
0.88,1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498
1.21,0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692
0.13,0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726
0.394,1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208
1.97,2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872
2.916,1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194
1.156,0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186
0.054,0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194
0.066,0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108
0.12,0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05
0.1,0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032
0.028,0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026
0.022,0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03
0.028,0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024
0.024,0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024
0.022,0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03
0.612,0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022
0.748,0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482
0.552,0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486
0.0,0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02
0.318,1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018
1.11,1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018
1.18,1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018
1.858,0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02
0.498,0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132
0.692,0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078
0.726,1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342
1.208,0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196
0.872,0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532
0.194,0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442
0.186,0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526
0.194,0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772
0.108,0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158
0.05,0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072
0.032,0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056
0.026,0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054
0.03,0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052
0.024,0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054
0.024,0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052
0.03,0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302
0.022,2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062
2.482,1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424
1.486,0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444
0.02,0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4
0.018,0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654
0.018,0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05
0.018,0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538
0.02,1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736
1.132,1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252
1.078,0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08
0.342,0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736
0.196,1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162
1.532,0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032
0.442,1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024
1.526,0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022
0.772,0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022
0.158,0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022
0.072,0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02
0.056,0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64
0.054,0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756
0.052,0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594
0.054,0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412
0.052,0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412,0.232
0.302,1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412,0.232,0.06
1.062,1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412,0.232,0.06,0.306
1.424,0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412,0.232,0.06,0.306,2.434
0.444,0.4,0.654,0.05,0.538,0.736,0.252,0.08,0.736,0.162,0.032,0.024,0.022,0.022,0.022,0.02,0.64,1.756,0.594,1.412,0.232,0.06,0.306,2.434,1.602
