feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,label
0.024,0.266,2.038,0.104,0.606,0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032
0.266,2.038,0.104,0.606,0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03
2.038,0.104,0.606,0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45
0.104,0.606,0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346
0.606,0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608
0.592,1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128
1.074,0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372
0.436,0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24
0.186,0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23
0.508,0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612
0.108,1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592
1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036
0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47
0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23
1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766
0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398
0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386
0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966
0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21
0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048
0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03
0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034
0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024
0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024
0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026
0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384
2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916
0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666
0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314
1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18
0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038
0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348
0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18
