feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
1.124,0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592
0.734,0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036
0.174,1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47
1.432,0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23
0.424,0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766
0.026,0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398
0.022,0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386
0.042,0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966
0.03,0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21
0.03,0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048
0.03,0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03
0.032,0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034
0.032,0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024
0.032,0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024
0.03,2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026
2.45,0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384
0.346,0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916
0.608,1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666
1.128,0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314
0.372,0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18
0.24,0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038
0.23,0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348
0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18
0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044
0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116
0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308
1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45
0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706
0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226
0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686
0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218
0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898
0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096
0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066
0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03
0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026
0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024
0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028
2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02
1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532
0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316
0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622
0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076
0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072
0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024
0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628
0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026
0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028
0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186
2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09
0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112
0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146
0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416
0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588
1.898,2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322
2.096,0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1
0.066,0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038
0.03,0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036
0.026,0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026
0.024,0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024
0.028,0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02
0.02,0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024
0.532,3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024
3.316,0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972
0.622,0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676
