feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
0.076,0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978
0.072,0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39
0.024,0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338
0.628,0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972
0.026,0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348
0.028,0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164
0.186,1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164,1.158
1.09,1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164,1.158,1.078
1.112,0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164,1.158,1.078,2.002
0.146,0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164,1.158,1.078,2.002,0.388
0.416,0.588,1.322,0.1,0.038,0.036,0.026,0.024,0.02,0.024,0.024,0.972,1.676,0.978,1.39,0.338,0.972,0.348,2.164,1.158,1.078,2.002,0.388,1.034
